Type,Error/Rule,Count,Priority,Complexity,Build Impact,Auto-fixable,Estimated Effort (min)
TypeScript,"TS1003",752,CRITICAL,MEDIUM,HIGH,false,3760
TypeScript,"TS1005",1473,CRITICAL,MEDIUM,HIGH,false,7365
TypeScript,"TS1128",474,CRITICAL,LOW,HIGH,false,948
ESLint,"react-hooks/exhaustive-deps",18,HIGH,MEDIUM,MEDIUM,false,90
TypeScript,"TS1382",5,MEDIUM,MEDIUM,MEDIUM,false,25
TypeScript,"TS17002",4,MEDIUM,MEDIUM,MEDIUM,false,20
TypeScript,"TS1381",4,MEDIUM,MEDIUM,MEDIUM,false,20
TypeScript,"TS1109",228,MEDIUM,MEDIUM,MEDIUM,false,1140
TypeScript,"TS1138",2,MEDIUM,MEDIUM,MEDIUM,false,10
TypeScript,"TS2657",1,MEDIUM,MEDIUM,MEDIUM,false,5
TypeScript,"TS1135",5,MEDIUM,MEDIUM,MEDIUM,false,25
TypeScript,"TS1011",7,MEDIUM,MEDIUM,MEDIUM,false,35
TypeScript,"TS1131",23,MEDIUM,MEDIUM,MEDIUM,false,115
TypeScript,"TS1136",24,MEDIUM,MEDIUM,MEDIUM,false,120
TypeScript,"TS18026",1,MEDIUM,MEDIUM,MEDIUM,false,5
TypeScript,"TS1161",1,MEDIUM,MEDIUM,MEDIUM,false,5
TypeScript,"TS1434",6,MEDIUM,MEDIUM,MEDIUM,false,30
TypeScript,"TS1130",2,MEDIUM,MEDIUM,MEDIUM,false,10
TypeScript,"TS1110",12,MEDIUM,MEDIUM,MEDIUM,false,60
TypeScript,"TS1137",5,MEDIUM,MEDIUM,MEDIUM,false,25
TypeScript,"TS1181",1,MEDIUM,MEDIUM,MEDIUM,false,5
ESLint,"react-hooks/rules-of-hooks",11,MEDIUM,MEDIUM,LOW,false,55
ESLint,"import/no-unresolved",9,MEDIUM,MEDIUM,LOW,false,45
ESLint,"import/named",61,MEDIUM,MEDIUM,LOW,false,305
ESLint,"file",1,MEDIUM,MEDIUM,LOW,false,5
ESLint,"@typescript-eslint/prefer-optional-chain",111,MEDIUM,MEDIUM,LOW,false,555
ESLint,"@typescript-eslint/no-unnecessary-type-assertion",302,MEDIUM,MEDIUM,LOW,false,1510
ESLint,"@typescript-eslint/no-explicit-any",1959,MEDIUM,HIGH,LOW,false,29385
ESLint,"max-lines-per-function",169,MEDIUM,MEDIUM,LOW,false,845
ESLint,"import/order",43,MEDIUM,MEDIUM,LOW,true,43
ESLint,"expected",4,MEDIUM,MEDIUM,LOW,false,20
ESLint,"complexity",134,MEDIUM,MEDIUM,LOW,false,670
ESLint,"@typescript-eslint/await-thenable",29,MEDIUM,MEDIUM,LOW,false,145
ESLint,"@typescript-eslint/no-unused-vars",523,MEDIUM,LOW,LOW,true,262
ESLint,"no-case-declarations",42,MEDIUM,MEDIUM,LOW,false,210
ESLint,"astrological/require-transit-date-validation",30,MEDIUM,MEDIUM,LOW,false,150
ESLint,"camelcase",32,MEDIUM,MEDIUM,LOW,false,160
ESLint,"astrological/validate-planetary-position-structure",6,MEDIUM,MEDIUM,LOW,false,30
ESLint,"no-unsafe-optional-chaining",2,MEDIUM,MEDIUM,LOW,false,10
ESLint,"astrological/validate-elemental-properties",42,MEDIUM,MEDIUM,LOW,false,210
ESLint,"no-redeclare",16,MEDIUM,MEDIUM,LOW,false,80
ESLint,"eqeqeq",3,MEDIUM,LOW,LOW,true,2
ESLint,"import/no-duplicates",8,MEDIUM,MEDIUM,LOW,false,40
ESLint,"import/no-cycle",11,MEDIUM,MEDIUM,LOW,false,55
ESLint,"no-undef",72,MEDIUM,MEDIUM,LOW,false,360
ESLint,"no-unused-vars",116,MEDIUM,LOW,LOW,true,58
ESLint,"no-dupe-keys",1,MEDIUM,MEDIUM,LOW,false,5
ESLint,"no-dupe-args",1,MEDIUM,MEDIUM,LOW,false,5
ESLint,"@typescript-eslint/no-floating-promises",24,MEDIUM,MEDIUM,LOW,false,120
ESLint,"no-dupe-else-if",2,MEDIUM,MEDIUM,LOW,false,10
ESLint,"no-const-assign",67,MEDIUM,MEDIUM,LOW,false,335
ESLint,"@typescript-eslint/no-non-null-assertion",25,MEDIUM,MEDIUM,LOW,false,125
ESLint,"no-useless-escape",17,MEDIUM,MEDIUM,LOW,false,85
ESLint,"no-constant-condition",3,MEDIUM,MEDIUM,LOW,false,15
ESLint,"no-empty",11,MEDIUM,MEDIUM,LOW,false,55
ESLint,"declared",2,MEDIUM,MEDIUM,LOW,false,10
ESLint,"@typescript-eslint/no-misused-promises",5,MEDIUM,MEDIUM,LOW,false,25
ESLint,"token",1,MEDIUM,MEDIUM,LOW,false,5
ESLint,"no-unreachable",5,MEDIUM,MEDIUM,LOW,false,25
ESLint,"no-var",4,MEDIUM,LOW,LOW,true,2
ESLint,"no-fallthrough",2,MEDIUM,MEDIUM,LOW,false,10
ESLint,"no-useless-catch",2,MEDIUM,MEDIUM,LOW,false,10
ESLint,"astrological/preserve-fallback-values",1,MEDIUM,MEDIUM,LOW,false,5
ESLint,"no-console",1904,LOW,LOW,LOW,true,952